Exp No.,Ap (mm),Vc (tr/min),f (mm/tr),Ra (µm)
1,0.2,10000,1500,1.054
2,0.2,10000,2000,0.76
3,0.2,10000,2500,0.74
4,0.2,15000,1500,0.72
5,0.2,15000,2000,0.56
6,0.2,15000,2500,0.74
7,0.2,20000,1500,1.5
8,0.2,20000,2000,1.14
9,0.2,20000,2500,0.54
10,0.4,10000,1500,0.68
11,0.4,10000,2000,0.86
12,0.4,10000,2500,0.72
13,0.4,15000,1500,0.68
14,0.4,15000,2000,0.72
15,0.4,15000,2500,0.78
16,0.4,20000,1500,0.64
17,0.4,20000,2000,0.66
18,0.4,20000,2500,0.52
19,0.6,10000,1500,1.36
20,0.6,10000,2000,1.1
21,0.6,10000,2500,1.14
22,0.6,15000,1500,0.92
23,0.6,15000,2000,0.8
24,0.6,15000,2500,0.84
25,0.6,20000,1500,0.78
26,0.6,20000,2000,0.76
27,0.6,20000,2500,0.68
